,date,link,location,movie,time
4,2019-03-08,https://www.cinema.ucla.edu/events/2019/03/08/king-kong-miracle-woman,Billy Wilder Theater,King Kong  /  The Miracle Woman,7:30 pm
5,2019-03-09,https://www.cinema.ucla.edu/events/2018/03/09/meet-john-doe-most-dangerous-game,Billy Wilder Theater,Meet John Doe  /  The Most Dangerous Game,7:30 pm
6,2019-03-10,https://www.cinema.ucla.edu/events/2019/03/10/eagle-huntress,Billy Wilder Theater,The Eagle Huntress,11:00 am
7,2019-03-15,https://www.cinema.ucla.edu/events/2019/03/15/pat-rocco-tribute,Billy Wilder Theater,Pat Rocco Memorial Tribute and Screening,7:30 pm
8,2019-03-16,https://www.cinema.ucla.edu/events/2018/03/16/viva-villa-virtue,Billy Wilder Theater,Viva Villa!  /  Virtue,7:30 pm
9,2019-03-22,https://www.cinema.ucla.edu/events/2018/03/22/it-happened-one-night-richest-girl-in-the-world,Billy Wilder Theater,It Happened One Night  /  The Richest Girl in the World,7:30 pm
10,2019-03-23,https://www.cinema.ucla.edu/events/2010/03/23/stage-struck,Billy Wilder Theater,Stage Struck,7:30 pm
11,2019-03-30,https://www.cinema.ucla.edu/events/2019/03/30/wedding-march-american-madness,Billy Wilder Theater,The Wedding March  /  American Madness,7:30 pm
0,2019-03-05,http://thenewbev.com/program/march-5-skatetown-u-s-a-roller-boogie/,The New Beverly,Skatetown U.S.A.             ,7:30 pm
1,2019-03-05,http://thenewbev.com/program/march-5-skatetown-u-s-a-roller-boogie/,The New Beverly,Roller Boogie,9:40 pm
2,2019-03-06,http://thenewbev.com/program/march-6-gaslight-afternoon-classics/,The New Beverly,Gaslight,2:00 pm
3,2019-03-06,http://thenewbev.com/program/march-6-the-take-nighthawks/,The New Beverly,The Take (1974)             ,7:30 pm
4,2019-03-06,http://thenewbev.com/program/march-6-the-take-nighthawks/,The New Beverly,Nighthawks,9:30 pm
5,2019-03-07,http://thenewbev.com/program/march-7-the-take-nighthawks/,The New Beverly,The Take (1974)             ,7:30 pm
6,2019-03-07,http://thenewbev.com/program/march-7-the-take-nighthawks/,The New Beverly,Nighthawks,9:30 pm
7,2019-03-08,http://thenewbev.com/program/march-8-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/,The New Beverly,One Flew Over the Cuckoo’s Nest             ,6:30 pm
8,2019-03-08,http://thenewbev.com/program/march-8-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/,The New Beverly,The Crazy World of Julius Vrooder,9:15 pm
9,2019-03-08,http://thenewbev.com/program/march-8-kill-bill-volume-2-midnight-show/,The New Beverly,Kill Bill: Volume 2,11:59 pm
10,2019-03-09,http://thenewbev.com/program/march-9-cartoon-club/,The New Beverly,Cartoon Club,10:00 am
11,2019-03-09,http://thenewbev.com/program/march-9-phar-lap-kiddee-matinee/,The New Beverly,Phar Lap,2:00 pm
12,2019-03-09,http://thenewbev.com/program/march-9-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/,The New Beverly,One Flew Over the Cuckoo’s Nest             ,6:30 pm
13,2019-03-09,http://thenewbev.com/program/march-9-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/,The New Beverly,The Crazy World of Julius Vrooder,9:15 pm
14,2019-03-09,http://thenewbev.com/program/march-9-the-groove-tube-midnight-show/,The New Beverly,The Groove Tube,11:59 pm
15,2019-03-10,http://thenewbev.com/program/march-10-phar-lap-kiddee-matinee/,The New Beverly,Phar Lap,2:00 pm
16,2019-03-10,http://thenewbev.com/program/march-10-the-case-against-brooklyn-tarawa-beachhead/,The New Beverly,The Case Against Brooklyn             ,6:30 pm
