,date,movie,location,time,link
64,2019-03-27,Point Blank             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-27-point-blank-the-outfit/
65,2019-03-27,The Outfit,The New Beverly,9:30 pm,http://thenewbev.com/program/march-27-point-blank-the-outfit/
66,2019-03-28,Point Blank             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-28-point-blank-the-outfit/
67,2019-03-28,The Outfit,The New Beverly,9:30 pm,http://thenewbev.com/program/march-28-point-blank-the-outfit/
68,2019-03-29,La Strada             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-29-la-strada-il-bidone/
69,2019-03-29,Il Bidone,The New Beverly,8:50 pm,http://thenewbev.com/program/march-29-la-strada-il-bidone/
70,2019-03-29,Kill Bill: Volume 1,The New Beverly,11:59 pm,http://thenewbev.com/program/march-29-kill-bill-volume-1-midnight-show/
71,2019-03-30,The Black Stallion,The New Beverly,2:00 pm,http://thenewbev.com/program/march-30-the-black-stallion-kiddee-matinee/
72,2019-03-30,La Strada             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-30-la-strada-il-bidone/
73,2019-03-30,Il Bidone,The New Beverly,8:50 pm,http://thenewbev.com/program/march-30-la-strada-il-bidone/
74,2019-03-30,Amazon Women on the Moon,The New Beverly,11:59 pm,http://thenewbev.com/program/march-30-amazon-women-on-the-moon-midnight-show/
75,2019-03-31,The Black Stallion,The New Beverly,2:00 pm,http://thenewbev.com/program/march-31-the-black-stallion-kiddee-matinee/
76,2019-03-31,Dames             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-31-dames-footlight-parade/
77,2019-03-31,Footlight Parade,The New Beverly,8:30 pm,http://thenewbev.com/program/march-31-dames-footlight-parade/
78,2019-04-01,Dames             ,The New Beverly,7:30 pm,http://thenewbev.com/program/april-1-dames-footlight-parade/
79,2019-04-01,Footlight Parade,The New Beverly,9:30 pm,http://thenewbev.com/program/april-1-dames-footlight-parade/
